Name		Cost															Damage				Adv. Map			
Singular	Plural	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Fight Value	AI Value	Growth	Horde Growth	Hit Points	Speed	Attack	Defense	Low	High	Shots	Spells	Low	High	Ability Text	Attributes (Reference only, do not change these values)
Pikinier	Pikinierzy	0	0	0	0	0	0	60	100	80	14	0	10	4	4	5	1	3	0	0	20	50	Powstrzymuje szar¿ê.	0
Halabardnik	Halabardnicy	0	0	0	0	0	0	75	115	115	14	0	10	5	6	5	2	3	0	0	20	30	Powstrzymuje szar¿ê.	0
£ucznik	£ucznicy	0	0	0	0	0	0	100	115	126	9	0	10	4	6	3	2	3	12	0	16	30		SHOOTING_ARMY
Kusznik	Kusznicy	0	0	0	0	0	0	150	115	184	9	0	10	6	6	3	2	3	24	0	16	25	Strzela dwukrotnie.	const_two_attacks | SHOOTING_ARMY
Gryf	Gryfy	0	0	0	0	0	0	200	324	351	7	3	25	6	8	8	3	6	0	0	12	25	Dwukrotnie kontratakuje.	DOUBLE_WIDE | FLYING_ARMY
Gryf królewski	Gryfy królewskie	0	0	0	0	0	0	240	364	448	7	3	25	9	9	9	3	6	0	0	12	20	Zawsze kontratakuje.	DOUBLE_WIDE|FLYING_ARMY
Zbrojny	Zbrojni	0	0	0	0	0	0	300	445	445	4	0	35	5	10	12	6	9	0	0	10	20		0
Krzy¿owiec	Krzy¿owcy	0	0	0	0	0	0	400	588	588	4	0	35	6	12	12	7	10	0	0	10	16	Atakuje dwukrotnie.	const_two_attacks
Mnich	Mnisi	0	0	0	0	0	0	400	485	485	3	0	30	5	12	7	10	12	12	0	8	16		SHOOTING_ARMY
Kap³an	Kap³ani	0	0	0	0	0	0	450	500	750	3	0	30	7	12	10	10	12	24	0	8	12	Brak ograniczeñ w walce wrêcz.	SHOOTING_ARMY | const_no_melee_penalty
Kawalerzysta	Kawalerzyœci	0	0	0	0	0	0	1000	1668	1946	2	0	100	7	15	15	15	25	0	0	5	12	Szar¿a.	DOUBLE_WIDE | const_jousting
Czempion	Czempioni	0	0	0	0	0	0	1200	1800	2100	2	0	100	9	16	16	20	25	0	0	5	10	Szar¿a.	DOUBLE_WIDE | const_jousting
Anio³	Anio³y	0	0	0	0	0	1	3000	3585	5019	1	0	200	12	20	20	50	50	0	0	4	10	Nienawidzi diab³ów.	FLYING_ARMY | const_raises_morale | KING_2
Archanio³	Archanio³y	0	0	0	0	0	3	5000	6033	8776	1	0	250	18	30	30	50	50	1	1	3	8	 Nienawidzi diab³ów. Wskrzesza. +1 do morale armii.	DOUBLE_WIDE | FLYING_ARMY | const_raises_morale | KING_2



Centaur	Centaury	0	0	0	0	0	0	70	100	100	14	0	8	6	5	3	2	3	0	0	20	50		DOUBLE_WIDE
Centaur bojowy	Centaury bojowe	0	0	0	0	0	0	90	115	138	14	0	10	8	6	3	2	3	0	0	20	30		DOUBLE_WIDE
Krasnolud	Krasnoludy	0	0	0	0	0	0	120	194	138	8	4	20	3	6	7	2	4	0	0	16	30	20% odpornoœci na magiê.	0
Krasnoludzki  wojownik	Krasnoludzcy wojownicy	0	0	0	0	0	0	150	209	209	8	4	20	5	7	7	2	4	0	0	16	25	40% odpornoœci na magiê.	0
Leœny elf	Leœne elfy	0	0	0	0	0	0	200	195	234	7	0	15	6	9	5	3	5	24	0	12	25		SHOOTING_ARMY
Wysoki elf	Wysokie elfy	0	0	0	0	0	0	225	195	331	7	0	15	7	9	5	3	5	24	0	12	20	Strzela dwukrotnie.	SHOOTING_ARMY | const_two_attacks
Pegaz	Pegazy	0	0	0	0	0	0	250	407	518	5	0	30	8	9	8	5	9	0	0	10	20	Zwiêksza koszt zakleæ wrogiego bohatera.	DOUBLE_WIDE | FLYING_ARMY
Srebrny pegaz	Srebrne pegazy	0	0	0	0	0	0	275	418	532	5	0	30	12	9	10	5	9	0	0	10	16	Zwiêksza koszt zakleæ wrogiego bohatera.	DOUBLE_WIDE | FLYING_ARMY
Drzewiec	Drzewce	0	0	0	0	0	0	350	690	517	3	2	55	3	9	12	10	14	0	0	8	16	Oplataj¹ce korzenie.	0
Ent	Enty	0	0	0	0	0	0	425	765	803	3	2	65	4	9	12	10	14	0	0	8	12	Oplataj¹ce korzenie.	0
Jednoro¿ec	Jednoro¿ce	0	0	0	0	0	0	850	1548	1806	2	0	90	7	15	14	18	22	0	0	5	12	Aura antymagiczna.  Oœlepia wrogów.	DOUBLE_WIDE
Jednoro¿ec bitewny	Jednoro¿ce bitewne	0	0	0	0	0	0	950	1740	2030	2	0	110	9	15	14	18	22	0	0	5	10	Aura antymagiczna.  Oœlepia wrogów.	DOUBLE_WIDE
Zielony smok	Zielone smoki	0	0	0	0	1	0	2400	3654	4872	1	0	180	10	18	18	40	50	0	0	4	10	Odpornoœæ na czary poziomów 1-3.	DOUBLE_WIDE | FLYING_ARMY | KING_1
Z³oty smok	Z³ote smoki	0	0	0	0	2	0	4000	6220	8613	1	0	250	16	27	27	40	50	0	0	3	8	Odpornoœæ na czary poziomów 1-4.	DOUBLE_WIDE | FLYING_ARMY | KING_1



Gremlin	Gremliny	0	0	0	0	0	0	30	55	44	16	0	4	4	3	3	1	2	0	0	20	50		0
Wiêkszy gremlin	Wiêksze gremliny	0	0	0	0	0	0	40	55	66	16	0	4	5	4	4	1	2	8	0	20	30		SHOOTING_ARMY
Kamienny gargulec	Kamienne gargulce	0	0	0	0	0	0	130	150	165	9	4	16	6	6	6	2	3	0	0	16	30		FLYING_ARMY
Obsydianowy gargulec	Obsydianowe gargulce	0	0	0	0	0	0	160	155	201	9	4	16	9	7	7	2	3	0	0	16	25		FLYING_ARMY
Kamienny golem	Kamienne golemy	0	0	0	0	0	0	150	339	250	6	0	30	3	7	10	4	5	0	0	12	25	Redukuje obra¿enia wynikaj¹ce z magii o 50%.	0
¯elazny golem	¯elazne golemy	0	0	0	0	0	0	200	412	412	6	0	35	5	9	10	4	5	0	0	12	20	Redukuje obra¿enia wynikaj¹ce z magii o 75%.	0
Mag	Magowie	0	0	0	0	0	0	350	418	570	4	0	25	5	11	8	7	9	24	0	10	20	Bez ograniczeñ w walce wrêcz. Zmniejsza koszt zaklêæ bohatera.	SHOOTING_ARMY | const_no_melee_penalty
Arcymag	Arcymagowie	0	0	0	0	0	0	450	467	680	4	0	30	7	12	9	7	9	24	0	10	16	Bez ograniczeñ w walce wrêcz. Zmniejsza koszt zaklêæ bohatera.	SHOOTING_ARMY | const_no_melee_penalty | const_no_wall_penalty
D¿inn	D¿inny	0	0	0	0	0	0	550	680	884	3	0	40	7	12	12	13	16	0	0	8	16	Nienawidzi ifritów.	FLYING_ARMY
Wielki d¿inn	Wielkie d¿inny	0	0	0	0	0	0	600	748	942	3	0	40	11	12	12	13	16	3	3	8	12	Nienawidzi ifritów. Rzuca czary daj¹ce losowe korzyœci.	FLYING_ARMY
Naga	Nagi	0	0	0	0	0	0	1100	2016	2016	2	0	110	5	16	13	20	20	0	0	5	12	Powstrzymuje kontratak.	DOUBLE_WIDE
Królewska naga	Królewskie nagi	0	0	0	0	0	0	1600	2485	2840	2	0	110	7	16	13	30	30	0	0	5	10	Powstrzymuje kontratak.	DOUBLE_WIDE
Gigant	Giganci	0	0	0	0	0	1	2000	3146	3718	1	0	150	7	19	16	40	60	0	0	4	10	Odpornoœæ na zaklêcia umys³u.	KING_3
Tytan	Tytani	0	0	0	0	0	2	5000	5000	7500	1	0	300	11	24	24	40	60	24	0	3	8	Odpornoœæ na zaklêcia umys³u. Brak ograniczeñ w walce wrêcz. Nienawidzi czarnych smoków.	SHOOTING_ARMY | const_no_melee_penalty | KING_3
                                   																								


Chochlik	Chochliki	0	0	0	0	0	0	50	50	50	15	8	4	5	2	3	1	2	0	0	20	50		0
Chowaniec	Chowañce	0	0	0	0	0	0	60	60	60	15	8	4	7	4	4	1	2	0	0	20	30	Kradnie manê.	0
Gog	Gogi	0	0	0	0	0	0	125	145	159	8	0	13	4	6	4	2	4	12	0	16	30		SHOOTING_ARMY
Magog	Magogi	0	0	0	0	0	0	175	210	240	8	0	13	6	7	4	2	4	24	0	16	25	Atak ognistymi kulami.	SHOOTING_ARMY
Piekielny ogar	Piekielne ogary	0	0	0	0	0	0	200	275	357	5	3	25	7	10	6	2	7	0	0	12	25		DOUBLE_WIDE | FLYING_ARMY
Cerber	Cerbery	0	0	0	0	0	0	250	308	392	5	3	25	8	10	8	2	7	0	0	12	20	Atakuje 3 przyleg³e do siebie pola. Powstrzymuje kontratak.	DOUBLE_WIDE | FLYING_ARMY
Demon	Demony	0	0	0	0	0	0	250	445	445	4	0	35	5	10	10	7	9	0	0	10	20		0
Rogaty demon	Rogate demony	0	0	0	0	0	0	270	480	480	4	0	40	6	10	10	7	9	0	0	10	16		0
Czart	Czarty	0	0	0	0	0	0	500	765	765	3	0	45	6	13	13	13	17	0	0	8	16		0
Czarci lord	Czarci lordowie	0	0	0	0	0	0	700	1071	1224	3	0	45	7	13	13	13	17	1	1	8	12	Przywo³uje demony z cia³ sprzymierzeñców.	0
Ifryt	Ifryty	0	0	0	0	0	0	900	1413	1670	2	0	90	9	16	12	16	24	0	0	5	12	Odpornoœæ na magiê ognia. Nienawidzi d¿innów.	0
Su³tañski ifryt	Su³tañskie ifryty	0	0	0	0	0	0	1100	1584	1848	2	0	90	13	16	14	16	24	0	0	5	10	Odpornoœæ na magiê ognia. Nienawidzi d¿innów. Tarcza ogniowa.	0
Diabe³	Diab³y	0	1	0	0	0	0	2700	3759	5101	1	0	160	11	19	21	30	40	0	0	4	10	 -1 do szczêœcia przeciwnika. Powstrzymuje kontratak. Nienawidzi anio³ów.	FLYING_ARMY | KING_2
Arcydiabe³	Arcydiab³y	0	2	0	0	0	0	4500	5243	7115	1	0	200	17	26	28	30	40	0	0	3	8	 -1 do szczêœcia przeciwnika. Powstrzymuje kontratak. Nienawidzi anio³ów.	FLYING_ARMY | KING_2



Szkielet	Szkielety	0	0	0	0	0	0	60	75	60	12	6	6	4	5	4	1	3	0	0	20	50	Nieumar³y.	IS_UNDEAD
Koœciej	Koœcieje	0	0	0	0	0	0	70	85	85	12	6	6	5	6	6	1	3	0	0	20	30	Nieumar³y.	IS_UNDEAD
O¿ywieniec	O¿ywieñcy	0	0	0	0	0	0	100	140	98	8	0	15	3	5	5	2	3	0	0	16	30	Nieumar³y.	IS_UNDEAD
Zombie	Zombie	0	0	0	0	0	0	125	160	128	8	0	20	4	5	5	2	3	0	0	16	25	Nieumar³y. Sieje zarazê.	IS_UNDEAD
Zjawa	Zjawy	0	0	0	0	0	0	200	231	252	7	0	18	5	7	7	3	5	0	0	12	25	Nieumar³y. Zdolnoœæ regeneracji.	FLYING_ARMY | IS_UNDEAD
Upiór	Upiory	0	0	0	0	0	0	230	252	315	7	0	18	7	7	7	3	5	0	0	12	20	Nieumar³y. Zdolnoœæ regeneracji. Wysysa manê.	FLYING_ARMY | IS_UNDEAD
Wampir	Wampiry	0	0	0	0	0	0	360	518	555	4	0	30	6	10	9	5	8	0	0	10	20	Nieumar³y. Powstrzymuje kontratak.	FLYING_ARMY | IS_UNDEAD
Wampirzy lord	Wampirzy lordowie	0	0	0	0	0	0	500	652	783	4	0	40	9	10	10	5	8	0	0	10	16	Nieumar³y. Wysysa punkty ¿ycia. Powstrzymuje kontratak.	FLYING_ARMY | IS_UNDEAD
Lisz	Lisze	0	0	0	0	0	0	550	742	848	3	0	30	6	13	10	11	13	12	0	8	16	Nieumar³y. Atak zabójcz¹ chmur¹.  	SHOOTING_ARMY | IS_UNDEAD
Arcylisz	Arcylisze	0	0	0	0	0	0	600	889	1079	3	0	40	7	13	10	11	15	24	0	8	12	Nieumar³y. Atak zabójcz¹ chmur¹.  	SHOOTING_ARMY | IS_UNDEAD
Czarny rycerz	Czarni rycerze	0	0	0	0	0	0	1200	1753	2087	2	0	120	7	16	16	15	30	0	0	5	12	Nieumar³y. Przeklina wrogów.	DOUBLE_WIDE | IS_UNDEAD
Upiorny rycerz	Upiorni rycerze	0	0	0	0	0	0	1500	2029	2382	2	0	120	9	18	18	15	30	0	0	5	10	Nieumar³y. Przeklina wrogów. Uderzenie œmierci.	DOUBLE_WIDE | IS_UNDEAD
